EMC Compliance Report
Generated Date,2025-07-24 11:32:34

Peak Analysis Results
Rank,Frequency (MHz),Amplitude (dBuV)
1,544.585,115.76
2,272.985,115.12
3,981.085,115.09
4,736.645,115.06
5,432.550,114.45
6,365.620,114.45
7,903.970,114.40
8,986.905,114.26
9,958.290,114.16
10,872.930,114.14
11,451.465,114.08
12,329.245,113.91
13,932.100,113.87
14,551.860,113.79
15,778.840,113.78
16,750.710,113.78
17,943.740,113.69
18,530.520,113.68
19,487.355,113.51
20,802.605,113.38

Compliance Check Results
Frequency (MHz),Measured (dBuV),Limit (dBuV),Margin (dB),Compliant
544.585,115.76,100.0,15.76,FAIL
272.985,115.12,100.0,15.12,FAIL
981.085,115.09,100.0,15.09,FAIL
736.645,115.06,100.0,15.06,FAIL
432.550,114.45,100.0,14.45,FAIL
365.620,114.45,100.0,14.45,FAIL
903.970,114.40,100.0,14.40,FAIL
986.905,114.26,100.0,14.26,FAIL
958.290,114.16,100.0,14.16,FAIL
872.930,114.14,100.0,14.14,FAIL
451.465,114.08,100.0,14.08,FAIL
329.245,113.91,100.0,13.91,FAIL
932.100,113.87,100.0,13.87,FAIL
551.860,113.79,100.0,13.79,FAIL
778.840,113.78,100.0,13.78,FAIL
750.710,113.78,100.0,13.78,FAIL
943.740,113.69,100.0,13.69,FAIL
530.520,113.68,100.0,13.68,FAIL
487.355,113.51,100.0,13.51,FAIL
802.605,113.38,100.0,13.38,FAIL
519.365,113.37,100.0,13.37,FAIL
323.910,113.35,100.0,13.35,FAIL
854.015,113.29,100.0,13.29,FAIL
936.950,113.24,100.0,13.24,FAIL
463.105,113.11,100.0,13.11,FAIL
220.120,113.09,100.0,13.09,FAIL
968.960,113.08,100.0,13.08,FAIL
693.965,113.02,100.0,13.02,FAIL
848.195,113.02,100.0,13.02,FAIL
493.175,113.00,100.0,13.00,FAIL
699.785,112.97,100.0,12.97,FAIL
437.400,112.94,100.0,12.94,FAIL
930.645,112.91,100.0,12.91,FAIL
347.190,112.88,100.0,12.88,FAIL
951.985,112.87,100.0,12.87,FAIL
316.635,112.86,100.0,12.86,FAIL
807.455,112.85,100.0,12.85,FAIL
840.920,112.84,100.0,12.84,FAIL
321.485,112.77,100.0,12.77,FAIL
967.020,112.75,100.0,12.75,FAIL
477.655,112.74,100.0,12.74,FAIL
288.990,112.73,100.0,12.73,FAIL
595.510,112.72,100.0,12.72,FAIL
584.355,112.65,100.0,12.65,FAIL
951.015,112.62,100.0,12.62,FAIL
789.510,112.58,100.0,12.58,FAIL
870.990,112.57,100.0,12.57,FAIL
992.725,112.50,100.0,12.50,FAIL
846.255,112.50,100.0,12.50,FAIL
528.580,112.47,100.0,12.47,FAIL
766.715,112.46,100.0,12.46,FAIL
585.810,112.45,100.0,12.45,FAIL
287.050,112.44,100.0,12.44,FAIL
945.680,112.44,100.0,12.44,FAIL
998.545,112.41,100.0,12.41,FAIL
308.875,112.40,100.0,12.40,FAIL
783.205,112.36,100.0,12.36,FAIL
971.385,112.29,100.0,12.29,FAIL
361.255,112.24,100.0,12.24,FAIL
923.370,112.23,100.0,12.23,FAIL
628.490,112.22,100.0,12.22,FAIL
283.170,112.20,100.0,12.20,FAIL
732.280,112.20,100.0,12.20,FAIL
