Frequency (Hz),Amplitude (dBμV)
30000000.0,104.83551
30485000.0,107.4970014
30970000.0,101.3689038
31455000.0,99.0145948
31940000.0,104.6305234
32425000.0,104.7146756
32910000.0,98.806442
33395000.0,105.6738813
33880000.0,108.3318174
34365000.0,104.7090985
34850000.0,103.8270871
35335000.0,103.2752301
35820000.0,102.5887754
36305000.0,106.1094663
36790000.0,88.0738294
37275000.0,103.8774488
37760000.0,99.9925305
38245000.0,100.4052426
38730000.0,99.4671476
39215000.0,102.9638593
39700000.0,102.4338071
40185000.0,104.8577573
40670000.0,104.8746869
41155000.0,91.9552076
41640000.0,106.7466199
42125000.0,106.3266828
42610000.0,108.7614743
43095000.0,90.5062558
43580000.0,95.9753339
44065000.0,100.9032056
44550000.0,92.6843793
45035000.0,97.3088605
45520000.0,88.831558
46005000.0,103.6263044
46490000.0,107.5261151
46975000.0,107.3439633
47460000.0,104.1936948
47945000.0,103.9000852
48430000.0,102.5252683
48915000.0,106.9903409
49400000.0,97.7029569
49885000.0,101.6106794
50370000.0,98.6288983
50855000.0,91.2637708
51340000.0,96.2328717
51825000.0,100.1924665
52310000.0,107.7649381
52795000.0,100.03019689999999
53280000.0,105.4142911
53765000.0,105.9578015
54250000.0,101.7022092
54735000.0,101.5850598
55220000.0,101.8479612
55705000.0,103.7390058
56190000.0,106.6995999
56675000.0,103.5100324
57160000.0,92.8016355
57645000.0,98.6139829
58130000.0,99.1348645
58615000.0,107.5138318
59100000.0,102.9519498
59585000.0,108.0786512
60070000.0,99.9485471
60555000.0,107.6687696
61040000.0,108.2531049
61525000.0,106.5837552
62010000.0,99.1732328
62495000.0,102.4376142
62980000.0,104.4548108
63465000.0,107.922714
63950000.0,102.1216581
64435000.0,90.3283002
64920000.0,104.3940808
65405000.0,105.1996305
65890000.0,95.05668610000001
66375000.0,103.8463895
66860000.0,103.9948117
67345000.0,109.8823011
67830000.0,89.3414151
68315000.0,80.9103849
68800000.0,105.6466138
69285000.0,103.5982434
69770000.0,88.3059919
70255000.0,101.4590833
70740000.0,102.7725217
71225000.0,106.5119016
71710000.0,102.780586
72195000.0,102.0438306
72680000.0,97.0601956
73165000.0,105.4739987
73650000.0,103.9156568
74135000.0,91.2584455
