Frequency (Hz),Amplitude (dB¦ÌV)
150000.0,19.5640409
169900.0,0.00010657050716562286
189800.0,16.5698392
209700.0,14.4282529
229600.0,14.3180539
249500.0,14.6098096
269400.0,8.963539521113279e-05
289300.0,14.7926404
309200.0,14.0566022
329100.0,7.898099904698526e-05
349000.0,14.0126416
368900.0,7.11513988175093e-05
388800.0,12.3837735
408700.0,12.2047956
428600.0,7.449532161221689e-05
448500.0,6.655691014773234e-05
468400.0,13.41172
488300.0,11.8326642
508200.0,6.369638213437468e-05
528100.0,7.42864706014667e-05
548000.0,11.7655484
567900.0,6.861282619998622e-05
587800.0,11.0045468
607700.0,9.1807782
627600.0,6.511729742101525e-05
647500.0,5.9725768345722754e-05
667400.0,12.0583264
687300.0,10.9624707
707200.0,6.798276482606693e-05
727100.0,10.2809598
747000.0,5.761016026220315e-05
766900.0,6.189622043818147e-05
786800.0,6.301987849764777e-05
806700.0,6.146032925652895e-05
826600.0,5.416910638413092e-05
846500.0,9.2299955
866400.0,8.5607831
886300.0,5.70304192058957e-05
906200.0,5.1217310054298616e-05
926100.0,5.1201521911694174e-05
946000.0,6.4916532
965900.0,4.5957490224609435e-05
985800.0,8.7602384
1005700.0,8.83374
1025600.0,7.1909101
1045500.0,4.357329371693779e-05
1065400.0,3.608286807592616e-05
1085300.0,7.6941754
1105200.0,3.390576840817034e-05
1125100.0,5.425580441695189e-05
1145000.0,6.6116788
1164900.0,4.6417386
1184800.0,3.4803159
1204700.0,2.8627620851540103e-05
1224600.0,4.7046201
1244500.0,2.3795335234412907e-05
1264400.0,5.7404554
1284300.0,2.603203435387681e-05
1304200.0,2.8374478
1324100.0,4.7538678
1344000.0,1.5345276491018143e-05
1363900.0,2.7095563
1383800.0,3.8943402
1403700.0,2.3853223
1423600.0,4.6064603
1443500.0,4.7903211
1463400.0,1.2961118
1483300.0,1.0912965422837192e-05
1503200.0,1.0947588967211953e-05
1523100.0,7.3898297828289155e-06
1543000.0,1.6813141715295586e-05
1562900.0,1.6317289
1582800.0,1.5516871793499297e-05
1602700.0,1.042389242861744e-05
1622600.0,1.595770236684582e-05
1642500.0,5.05618413402054e-06
1662400.0,3.6209577420320635e-06
1682300.0,8.22454099188508e-06
1702200.0,1.9947290124056968e-05
1722100.0,2.5976026
1742000.0,1.0981012607908013e-05
1761900.0,5.7391048047931344e-06
1781800.0,0.5689542
1801700.0,1.39135584406984e-05
1821600.0,-1.0195352400872317e-127
1841500.0,1.7941186109490523e-05
1861400.0,1.6407849
1881300.0,0.8287503
1901200.0,4.6681202779696605e-06
1921100.0,6.393494634237271e-06
1941000.0,1.7667368453068537e-06
1960900.0,6.890231158507818e-06
1980800.0,-2.3004819363994557e-121
2000700.0,6.648326220197065e-06
2020600.0,-9.487609027497392e-128
2040500.0,1.7089078
2060400.0,-1.3597388225544269e-119
2080300.0,1.3638608
2100200.0,-8.593022553521041e-128
2120100.0,-7.567189652055386e-124
2140000.0,-9.36968324308164e-128
2159900.0,-1.3509587532866465e-127
2179800.0,-5.578758777298449e-128
2199700.0,3.0998461699102695e-06
2219600.0,-2.075717318024527e-123
2239500.0,0.1588513
2259400.0,1.1065213
2279300.0,9.725922436416241e-06
2299200.0,-6.877938926171439e-128
2319100.0,-5.697806353750089e-128
2339000.0,-1.2243401627728562e-127
2358900.0,-1.7666752391992839e-127
2378800.0,-3.7837285802846387e-128
2398700.0,0.0880506
2418600.0,1.1903945479368077e-05
2438500.0,0.2761991
2458400.0,2.0922544
2478300.0,3.124405771781691e-06
2498200.0,1.0222013
2518100.0,1.6455075
2538000.0,-1.768165700517817e-123
2557900.0,2.83601258343207e-06
2577800.0,0.1783139
2597700.0,-9.689719035729687e-128
2617600.0,1.3634488
2637500.0,-6.845131715837306e-128
2657400.0,-9.91949569435878e-128
2677300.0,1.6049277466560536e-06
2697200.0,0.4034955
2717100.0,-1.5653628998361968e-127
2737000.0,-3.186029044443464e-128
2756900.0,-2.3132272589658616e-123
2776800.0,-1.790518455788689e-123
2796700.0,-3.631904421239197e-128
2816600.0,2.8026731
2836500.0,-9.111461172711589e-128
2856400.0,-3.7374772191986243e-124
2876300.0,-6.032018298103315e-128
2896200.0,-1.2018765937406685e-127
2916100.0,-1.7238791793072156e-127
2936000.0,-2.3272270459522982e-123
2955900.0,1.0649347855326868e-06
2975800.0,-7.30674975116374e-129
2995700.0,4.492369787106444e-06
3015600.0,-1.299239566689237e-127
3035500.0,6.238149161958565e-06
3055400.0,-1.0296495000325811e-128
3075300.0,-9.408939838789974e-128
3095200.0,-1.7205962767737184e-123
3115100.0,-1.065580903228536e-127
3135000.0,-1.5948272760795212e-127
3154900.0,0.2506024
3174800.0,-2.456794670592136e-124
3194700.0,2.1280591
3214600.0,2.229942
3234500.0,2.6118811049067026e-06
3254400.0,-1.1689912622501967e-127
3274300.0,-2.2996634643421237e-127
3294200.0,-6.052114179459882e-128
3314100.0,-9.236895653947153e-128
3334000.0,-9.727075486427814e-128
3353900.0,-1.2025776014613898e-127
3373800.0,4.81829581730293e-06
3393700.0,-1.7149404528727999e-127
3413600.0,-1.4142555932624734e-127
3433500.0,1.1507871
3453400.0,-4.900302465968818e-128
3473300.0,-2.4528154469193546e-123
3493200.0,-1.6487803683827793e-127
3513100.0,2.9880342680622173e-06
3533000.0,1.1170056434080021e-08
3552900.0,-1.7361702548504363e-127
3572800.0,-2.616041100699645e-123
3592700.0,-4.796396835967493e-128
3612600.0,-1.002573801676251e-127
3632500.0,-2.636776163476394e-123
3652400.0,1.5163524061380841e-05
3672300.0,-1.7653105896010467e-127
3692200.0,-8.99789677851913e-128
3712100.0,-4.1977625414913807e-128
3732000.0,-5.603901701891872e-128
3751900.0,1.4227292
3771800.0,-7.907244578772559e-128
3791700.0,0.0609204
3811600.0,-6.473345251274793e-128
3831500.0,1.0071027
3851400.0,-1.313983315875745e-123
3871300.0,-2.022522334505936e-123
3891200.0,-1.3333275066130961e-127
3911100.0,-1.334325685089013e-128
3931000.0,-1.7819386348492663e-127
3950900.0,3.640716518998393e-06
3970800.0,-1.0832215015721345e-127
3990700.0,-1.1494251999643871e-127
4010600.0,4.945249620137245e-06
4030500.0,-3.942011039071541e-124
4050400.0,-9.583320716035202e-128
4070300.0,9.618483557203569e-07
4090200.0,-1.2322725433339345e-127
4110100.0,-1.3941380683027366e-127
4130000.0,-7.079924381593053e-128
4149900.0,-1.0685563269463179e-127
4169800.0,-1.4315067292600086e-127
4189700.0,-1.134937584558523e-127
4209600.0,0.3337171
4229500.0,-1.1125425399907054e-127
4249400.0,-3.791018799223426e-128
4269300.0,-1.976067524073747e-119
4289200.0,-5.766849963370683e-124
4309100.0,-2.0881537209279297e-127
