Frequency (Hz),Amplitude (dB¦ÌV)
30000000.0,5.2264554
30485000.0,4.9857175
30970000.0,5.1298978
31455000.0,5.3494641
31940000.0,5.5185392
32425000.0,5.2721021
32910000.0,4.890701
33395000.0,5.5190274
33880000.0,5.4817273
34365000.0,5.1713483
34850000.0,5.5242536
35335000.0,5.1080854
35820000.0,5.5528409
36305000.0,5.2755963
36790000.0,5.3471524
37275000.0,7.9682538
37760000.0,4.4738996
38245000.0,7.3551023
38730000.0,6.7258298
39215000.0,5.8095243
39700000.0,5.0860211
40185000.0,5.5552213
40670000.0,5.1855847
41155000.0,7.3849942
41640000.0,6.1029966
42125000.0,5.7188642
42610000.0,4.372421
43095000.0,4.9793698
43580000.0,4.4303357
44065000.0,5.7828214
44550000.0,4.9090955
45035000.0,5.2593152
45520000.0,6.2734677
46005000.0,5.5729367
46490000.0,5.202049
46975000.0,4.7216947
47460000.0,4.3409497
47945000.0,5.7952954
48430000.0,5.2491834
48915000.0,5.0032193
49400000.0,5.7377393
49885000.0,5.767616
50370000.0,6.8408048
50855000.0,5.9079892
51340000.0,4.7966306
51825000.0,6.1691892
52310000.0,4.6439664
52795000.0,8.0018384
53280000.0,5.2110059
53765000.0,5.6851499
54250000.0,5.9671628
54735000.0,6.7439801
55220000.0,5.5224912
55705000.0,4.7419278
56190000.0,6.9104001
56675000.0,6.0907437
57160000.0,5.7224805
57645000.0,5.7292478
58130000.0,5.1422193
58615000.0,5.2989652
59100000.0,6.7671659
59585000.0,6.0895917
60070000.0,6.0693433
60555000.0,6.3838803
61040000.0,5.283653
61525000.0,5.9150006
62010000.0,5.1381757
62495000.0,6.2161481
62980000.0,6.1969373
63465000.0,7.0688321
63950000.0,5.4565808
64435000.0,5.2847898
64920000.0,5.4106748
65405000.0,5.3698957
65890000.0,7.0264051
66375000.0,6.9365384
66860000.0,5.7492673
67345000.0,6.312576
67830000.0,5.5489728
68315000.0,6.2637937
68800000.0,6.2452466
69285000.0,7.4993512
69770000.0,4.9060971
70255000.0,5.9391324
70740000.0,5.1930616
71225000.0,5.3782956
71710000.0,7.4957654
72195000.0,6.6405713
72680000.0,6.1029355
73165000.0,6.7661664
73650000.0,6.2470166
74135000.0,6.1720349
74620000.0,4.9113996
75105000.0,6.8483579
75590000.0,7.4579236
76075000.0,6.4115064
76560000.0,6.2046964
77045000.0,6.0256421
77530000.0,6.4901502
78015000.0,6.8595273
78500000.0,6.6899411
78985000.0,6.4874189
79470000.0,7.6207578
79955000.0,6.4026105
80440000.0,5.9390027
80925000.0,5.7208707
81410000.0,7.4023435
81895000.0,6.5879209
82380000.0,5.9799726
82865000.0,5.8518598
83350000.0,6.6147763
83835000.0,6.7741391
84320000.0,6.5162809
84805000.0,6.7605664
85290000.0,6.1634214
85775000.0,6.9945295
86260000.0,6.4314878
86745000.0,6.0953061
87230000.0,6.2709806
87715000.0,7.1949842
88200000.0,5.4793622
88685000.0,6.663696
89170000.0,7.2156903
89655000.0,8.4874494
90140000.0,7.2617032
90625000.0,8.7404248
91110000.0,7.3330915
91595000.0,7.8660733
92080000.0,7.3709333
92565000.0,5.7851255
93050000.0,7.0505292
93535000.0,6.7836759
94020000.0,6.7404019
94505000.0,6.6260907
94990000.0,7.8671109
95475000.0,7.300636
95960000.0,6.1849897
96445000.0,8.55323
96930000.0,6.8405988
97415000.0,6.8204267
97900000.0,7.8187024
98385000.0,6.6057813
98870000.0,8.3477094
99355000.0,6.8619611
99840000.0,8.2140195
100325000.0,6.2540204
100810000.0,7.4575727
101295000.0,7.3800885
101780000.0,8.1514737
102265000.0,6.6978452
102750000.0,7.3188169
103235000.0,8.6204526
103720000.0,6.9974744
104205000.0,8.1414945
104690000.0,7.237663
105175000.0,8.2810971
105660000.0,7.372688
106145000.0,7.2027967
106630000.0,6.4399716
107115000.0,6.888786
107600000.0,7.582298
108085000.0,5.7707669
108570000.0,6.896568
109055000.0,6.7961118
109540000.0,6.79792
110025000.0,7.1939313
110510000.0,6.8874433
110995000.0,7.9418866
111480000.0,7.9271619
111965000.0,7.0746076
112450000.0,5.982414
112935000.0,7.9996564
113420000.0,7.0009763
113905000.0,6.2560804
114390000.0,6.4506223
114875000.0,6.4513166
115360000.0,7.6569821
115845000.0,7.7120969
116330000.0,7.0281293
116815000.0,6.6993558
117300000.0,6.7983625
117785000.0,6.4377591
118270000.0,8.6114118
118755000.0,7.4419171
119240000.0,6.2820432
119725000.0,7.3533933
120210000.0,7.0073392
120695000.0,5.8380582
121180000.0,6.3265378
121665000.0,8.6223828
122150000.0,6.6158521
122635000.0,7.1578061
123120000.0,8.0907819
123605000.0,6.7304227
124090000.0,6.623573
124575000.0,8.4682233
125060000.0,7.4419477
125545000.0,7.4733121
126030000.0,8.4888837
126515000.0,6.8152463
127000000.0,6.2154386
127485000.0,8.4213559
127970000.0,7.9449994
128455000.0,7.3242643
128940000.0,7.6541669
129425000.0,6.5164487
129910000.0,7.2584149
130395000.0,6.8570401
130880000.0,7.4315564
131365000.0,6.4043653
131850000.0,6.9967878
132335000.0,8.2650983
132820000.0,6.6375959
133305000.0,6.7922818
133790000.0,6.3293149
134275000.0,6.2211911
134760000.0,6.9045102
135245000.0,6.6071546
135730000.0,6.2698133
136215000.0,6.8239591
136700000.0,7.0812451
137185000.0,8.2590253
137670000.0,6.3968961
138155000.0,7.8671414
138640000.0,8.5788648
139125000.0,7.2421109
139610000.0,7.6166532
140095000.0,7.0722806
140580000.0,7.7839505
141065000.0,7.1742932
141550000.0,6.7835233
142035000.0,6.9006879
142520000.0,6.8725202
143005000.0,6.9866712
143490000.0,8.3918378
143975000.0,8.0795285
144460000.0,7.277168
144945000.0,7.1136319
145430000.0,6.670036
145915000.0,6.5260236
146400000.0,5.7437131
146885000.0,7.2079389
147370000.0,6.0994031
147855000.0,6.8378141
148340000.0,6.4493482
148825000.0,8.3318326
149310000.0,7.2487485
149795000.0,7.842262
150280000.0,7.7187116
150765000.0,7.4521634
151250000.0,7.958595
151735000.0,7.7427289
152220000.0,6.7977063
152705000.0,7.6065366
153190000.0,9.2704694
153675000.0,7.9702222
154160000.0,7.6188428
154645000.0,8.3002011
155130000.0,6.3109967
155615000.0,6.8375623
156100000.0,7.2010419
156585000.0,6.8387982
157070000.0,6.2219236
157555000.0,8.4070737
158040000.0,7.2411573
158525000.0,8.1872251
159010000.0,7.437309
159495000.0,8.507446
159980000.0,7.4572751
160465000.0,6.6880262
160950000.0,8.0423963
161435000.0,5.9641187
161920000.0,7.7000501
162405000.0,9.1056897
162890000.0,7.8633802
163375000.0,7.2369001
163860000.0,7.5432355
164345000.0,7.1832349
164830000.0,7.8534543
165315000.0,7.66806
165800000.0,6.5764844
166285000.0,7.5247342
166770000.0,6.6524884
167255000.0,7.9398343
167740000.0,7.6730268
168225000.0,7.1070859
168710000.0,7.5933988
169195000.0,6.9623563
169680000.0,6.7564771
170165000.0,7.4704969
170650000.0,8.4824369
171135000.0,7.4915769
171620000.0,6.6406552
172105000.0,7.7522351
172590000.0,8.3175351
173075000.0,6.640022
173560000.0,6.660774
174045000.0,6.5504071
174530000.0,8.7116773
175015000.0,7.4412229
175500000.0,7.317764
175985000.0,6.9886167
176470000.0,7.3653714
176955000.0,7.1089322
177440000.0,7.2560422
177925000.0,6.8541181
178410000.0,8.4081189
178895000.0,7.7566526
179380000.0,7.3409497
179865000.0,7.0725934
180350000.0,6.9067075
180835000.0,6.4821698
181320000.0,7.0998761
181805000.0,6.8175962
182290000.0,6.6992414
182775000.0,7.8765638
183260000.0,6.7069623
183745000.0,6.4014356
184230000.0,6.8143689
184715000.0,6.2054746
185200000.0,8.5171888
185685000.0,8.8906018
186170000.0,6.7415082
186655000.0,7.2012326
187140000.0,6.834953
187625000.0,7.792793
188110000.0,7.2142408
188595000.0,8.5806195
189080000.0,7.3347394
189565000.0,7.0875394
190050000.0,6.5162274
190535000.0,6.589668
191020000.0,7.8059461
191505000.0,7.5336225
191990000.0,7.4687421
192475000.0,7.1220777
192960000.0,8.6031186
193445000.0,7.7539136
193930000.0,7.5382383
194415000.0,8.2109601
194900000.0,6.4810102
195385000.0,7.4352185
195870000.0,7.2044751
196355000.0,7.1782071
196840000.0,7.844856
197325000.0,7.1996534
197810000.0,7.3471601
198295000.0,10.0784604
198780000.0,7.5846707
199265000.0,8.1573789
199750000.0,8.352287
200235000.0,7.2471006
200720000.0,7.8111646
201205000.0,8.1158216
201690000.0,7.1773069
202175000.0,7.5693891
202660000.0,8.6224057
203145000.0,8.5521543
203630000.0,9.0643232
204115000.0,7.3800122
204600000.0,7.5036695
205085000.0,7.8207242
205570000.0,7.6452939
206055000.0,8.6887052
206540000.0,7.6179654
207025000.0,6.913841
207510000.0,8.2078092
207995000.0,7.7658307
208480000.0,7.0155179
208965000.0,7.0043027
209450000.0,6.865196
209935000.0,6.8171003
210420000.0,8.1774747
210905000.0,8.0183255
211390000.0,7.2182004
211875000.0,8.1843488
212360000.0,8.0194928
212845000.0,7.5719678
213330000.0,8.1146009
213815000.0,7.6206967
214300000.0,8.8584592
214785000.0,7.9715268
215270000.0,7.2965085
215755000.0,8.3248441
216240000.0,7.5316846
216725000.0,7.4860532
217210000.0,7.2003324
217695000.0,7.4588773
218180000.0,9.124397
218665000.0,7.1804349
219150000.0,7.2992932
219635000.0,7.871536
220120000.0,7.0982511
220605000.0,7.6557614
221090000.0,7.8315045
221575000.0,9.2118375
222060000.0,9.3491819
222545000.0,7.7633512
223030000.0,7.9133374
223515000.0,7.4539258
224000000.0,8.0618436
224485000.0,8.8788907
224970000.0,7.8752133
225455000.0,7.1412351
225940000.0,7.5466382
226425000.0,7.4912717
226910000.0,6.7695691
227395000.0,7.858154
227880000.0,7.3536145
228365000.0,7.6018598
228850000.0,8.0332715
229335000.0,7.8267209
229820000.0,7.9366758
230305000.0,8.3862149
230790000.0,7.4160459
231275000.0,6.6666333
231760000.0,8.2438504
232245000.0,9.1617429
232730000.0,7.7826078
233215000.0,7.362106
233700000.0,7.5066831
234185000.0,7.8125074
234670000.0,8.4293515
235155000.0,9.0820157
235640000.0,6.6108091
236125000.0,9.5435941
236610000.0,8.3332593
237095000.0,6.5186383
237580000.0,9.4675138
238065000.0,7.770149
238550000.0,8.6058957
239035000.0,7.105026
239520000.0,8.224014
240005000.0,7.5064923
240490000.0,7.6786649
240975000.0,8.5985486
241460000.0,7.0883634
241945000.0,7.7245633
242430000.0,8.0258329
242915000.0,7.6162717
243400000.0,7.1743619
243885000.0,7.7987363
244370000.0,9.3713529
244855000.0,7.0849073
245340000.0,7.0337216
245825000.0,8.7901227
246310000.0,7.9415204
246795000.0,9.4993512
247280000.0,7.2591321
247765000.0,7.9531247
248250000.0,7.7662122
248735000.0,7.780441
249220000.0,8.310951
249705000.0,8.8352048
250190000.0,10.2218091
250675000.0,6.7018811
251160000.0,7.2233884
251645000.0,8.4498517
252130000.0,9.1554792
252615000.0,8.0570829
253100000.0,7.6531217
253585000.0,6.9723584
254070000.0,6.9378965
254555000.0,7.5731351
255040000.0,7.9727475
255525000.0,10.3971402
256010000.0,7.2772519
256495000.0,8.2042768
256980000.0,7.9133069
257465000.0,7.8613355
257950000.0,10.1451108
258435000.0,7.9329068
258920000.0,8.2230832
259405000.0,8.1840741
259890000.0,7.9560773
260375000.0,7.543823
260860000.0,8.2167813
261345000.0,7.9617536
261830000.0,9.5071256
262315000.0,7.54866
262800000.0,9.6305234
263285000.0,7.4120175
263770000.0,7.8999936
264255000.0,8.0425336
264740000.0,7.2737271
265225000.0,7.6502225
265710000.0,9.100662
266195000.0,9.2919614
266680000.0,8.8178784
267165000.0,7.0152127
267650000.0,6.8699948
268135000.0,8.4517057
268620000.0,8.8221891
269105000.0,9.3178327
269590000.0,8.2334134
270075000.0,8.2297284
